dt,x,y,z,x_vel,y_vel,z_vel,Z_acc,X_acc
0.6,356.00293,13.180025,135.716476,0.001514,0.011668,-0.018538,9.80387,0.066669
0.61,356.002869,13.180043,135.716736,0.001581,0.011681,-0.018706,9.803843,0.066439
0.62,356.002777,13.180056,135.716965,0.00165,0.011523,-0.018585,9.803817,0.06619
0.63,356.002777,13.180072,135.717194,0.001674,0.011486,-0.01864,9.803799,0.065954
0.64,356.002655,13.180091,135.717407,0.001667,0.011565,-0.018581,9.803787,0.065757
0.65,356.002502,13.180107,135.717651,0.00169,0.01175,-0.018588,9.80377,0.065569
0.66,356.002441,13.180118,135.717865,0.001737,0.011712,-0.018597,9.803748,0.06535
0.67,356.00238,13.180137,135.718094,0.00174,0.011714,-0.018849,9.803735,0.065128
0.68,356.002319,13.180154,135.718353,0.001676,0.011653,-0.018653,9.803736,0.064894
0.69,356.002197,13.180171,135.718582,0.001799,0.011719,-0.018464,9.803698,0.064688
0.7,356.002045,13.180193,135.718765,0.001904,0.011736,-0.01839,9.803665,0.064486
0.71,356.001984,13.180209,135.718994,0.001898,0.011783,-0.018539,9.803656,0.064291
0.72,356.001923,13.180227,135.719284,0.001853,0.011852,-0.018364,9.803653,0.064089
0.73,356.001862,13.180244,135.719482,0.001968,0.011948,-0.01845,9.803618,0.063907
0.74,356.00174,13.180264,135.719788,0.002082,0.011932,-0.018198,9.803585,0.063691
0.75,356.001678,13.180274,135.720032,0.002113,0.011997,-0.018072,9.803567,0.063492
0.76,356.001648,13.180291,135.720245,0.002203,0.012225,-0.018025,9.803539,0.063339
0.77,356.001556,13.180316,135.720459,0.002079,0.012443,-0.01806,9.803553,0.063173
0.78,356.001465,13.180328,135.720703,0.002081,0.012462,-0.017853,9.803541,0.062981
0.79,356.001251,13.180345,135.720947,0.002148,0.012564,-0.017827,9.803517,0.062794
0.8,356.00119,13.18036,135.721207,0.00201,0.012654,-0.017639,9.803534,0.062606
0.81,356.001129,13.180375,135.721405,0.001977,0.013032,-0.017723,9.80353,0.062487
0.82,356.000977,13.180387,135.721634,0.001827,0.013333,-0.017463,9.803548,0.062342
0.83,356.000732,13.180391,135.721863,0.001799,0.013511,-0.01772,9.803542,0.062186
0.84,356.00058,13.180408,135.722092,0.001675,0.013685,-0.017456,9.803555,0.062019
0.85,356.000427,13.180413,135.72229,0.0016,0.013853,-0.017496,9.803559,0.061863
0.86,356.000275,13.18042,135.722519,0.001482,0.013995,-0.017428,9.803571,0.061691
0.87,356.000122,13.180425,135.722794,0.001353,0.01428,-0.017514,9.803584,0.061548
0.88,356,13.180428,135.722977,0.001218,0.014553,-0.0174,9.803599,0.061415
0.89,355.999878,13.180427,135.723206,0.001149,0.014943,-0.017554,9.803601,0.061293
0.9,355.999786,13.18043,135.72348,0.001075,0.015225,-0.017582,9.803605,0.061163
